,epochs,layer_count,node_number,dropout,loss,rmse,val_loss,val_rmse
0,25,2,150,0.3,31.180970153808595,84.91566467285156,61.96052932739258,85.55120849609375
1,25,4,150,0.3,31.853493309020998,86.00072479248047,63.74736022949219,90.58643341064453
2,25,2,130,0.3,32.23173583984375,87.1603775024414,67.9379653930664,91.44146728515625
3,25,4,130,0.3,34.31955257415771,92.38858032226562,68.63017272949219,94.46044158935547
4,25,3,150,0.3,33.87007553100586,88.40107727050781,70.2155532836914,100.26431274414062
5,25,4,150,0.5,38.22460666656494,94.62261962890625,72.98927307128906,102.08866882324219
6,25,2,150,0.5,32.421083488464355,87.85535430908203,78.71955108642578,103.7262191772461
7,25,3,130,0.5,33.29957256317139,87.89785766601562,81.36132049560547,107.77201080322266
8,25,4,130,0.5,41.70953125,102.68228149414062,82.61324310302734,107.97993469238281
9,25,3,130,0.3,31.723329772949217,85.95819091796875,85.30540466308594,111.18293762207031
10,25,2,130,0.5,34.15410255432129,92.15046691894531,85.91515350341797,115.90119934082031
11,25,3,150,0.5,40.13228393554687,98.04512023925781,99.27569580078125,127.48973846435547
