,epochs,layer_count,node_number,dropout,all_parameters_predicted,loss,rmse,val_loss,val_rmse
0,25,2,160,0.7,True,0.753201611214745,3.9669339656829834,0.7779557716846466,4.427923202514648
1,25,2,180,0.5,True,0.6990963781944067,3.5238866806030273,0.796626228094101,4.348651885986328
2,25,2,200,0.3,True,0.644646508881839,3.1885855197906494,0.7976351475715637,3.8235597610473633
3,25,2,180,0.7,True,0.7140645592980674,3.704033851623535,0.8061464405059815,4.134031295776367
4,25,2,120,0.5,True,0.8040124325209417,4.384848117828369,0.8144503438472748,4.995365142822266
5,25,2,180,0.3,True,0.7192516015387137,3.5423550605773926,0.8183311355113984,4.389307975769043
6,25,2,200,0.5,True,0.696283297581938,3.4595181941986084,0.8364724683761596,4.215632438659668
7,25,3,180,0.5,True,0.8681194560185441,4.7800068855285645,0.8455734276771545,5.2898125648498535
8,25,2,120,0.7,True,0.867963064380019,4.900265216827393,0.8589339685440064,5.389654636383057
9,25,3,180,0.3,True,0.8491618003296204,4.711370468139648,0.8810607159137726,5.4151811599731445
10,25,2,140,0.3,True,0.8155341730543435,4.470638275146484,0.8942255675792694,5.501452445983887
11,25,2,140,0.7,True,0.7595088374722667,4.020172595977783,0.9060956788063049,4.658214569091797
12,25,3,140,0.3,True,0.8197529934356315,4.494734287261963,0.9096663153171539,5.024383544921875
13,25,2,140,0.5,True,0.7680450640859764,4.149111270904541,0.9215622758865356,5.2985005378723145
14,25,2,160,0.3,True,0.7613721811447538,4.218749523162842,0.931580148935318,5.020157337188721
15,25,2,120,0.3,True,0.7827282798552421,4.030477523803711,0.9481018877029419,5.388558864593506
16,25,3,200,0.3,True,0.7940970383979679,4.1580586433410645,0.9504336750507355,4.7220025062561035
17,25,3,140,0.5,True,0.8972767781933714,4.799371719360352,0.963531619310379,5.232093334197998
18,25,2,200,0.7,True,0.6984716147222926,3.5395727157592773,0.9709001362323761,5.303098678588867
19,25,3,140,0.7,True,0.9125417214932756,5.076558589935303,1.0195713591575624,5.578961372375488
20,25,3,160,0.3,True,0.8362558329089955,4.422728061676025,1.0301284170150757,4.996140956878662
21,25,3,200,0.7,True,0.8415475591034044,4.4868574142456055,1.0455104184150696,5.765110015869141
22,25,3,200,0.5,True,0.8422771285915744,4.395304203033447,1.060251647233963,5.781085968017578
23,25,2,160,0.5,True,0.7673542312940373,4.010162830352783,1.0809411072731019,5.436297416687012
24,25,3,120,0.7,True,0.8964240778464087,4.85993766784668,1.086095130443573,6.366185188293457
25,25,3,180,0.7,True,0.9005532100468989,4.882315158843994,1.0923753905296325,5.982898712158203
26,25,3,120,0.5,True,0.906259728742602,5.041199684143066,1.0934665298461914,6.468411445617676
27,25,3,160,0.5,True,0.8566329788421443,4.688310623168945,1.1059972202777864,6.363001823425293
28,25,3,160,0.7,True,0.9198978402944616,4.901061534881592,1.1219551277160644,5.586360931396484
29,25,3,120,0.3,True,0.94761128621453,5.083596706390381,1.1487809777259828,6.08659553527832
